LIBRARY_ID,ANCHOR_ID,COSMIC_ID,Label,Endpoint,CELL_LINE_NAME,tissue
84691,11152667,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
84691,24856436,683665,1,SA-A,MC-CAR,Haematopoietic and Lymphoid
148124,24978538,683665,2,Bliss,MC-CAR,Haematopoietic and Lymphoid
24978538,11707110,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
24978538,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
24978538,51001932,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
23725625,11707110,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
23725625,51001932,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
6450551,24978538,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
10184653,24978538,683665,2,Bliss,MC-CAR,Haematopoietic and Lymphoid
10184653,11707110,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
10184653,51001932,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
11433190,24856436,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
1401,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
46930998,11707110,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
46930998,208908,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
46930998,51001932,683665,0,sub-HSA,MC-CAR,Haematopoietic and Lymphoid
5330286,11707110,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
5330286,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
5330286,51001932,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
17755052,24856436,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
17755052,11707110,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
17755052,208908,683665,0,sub-HSA,MC-CAR,Haematopoietic and Lymphoid
3385,11152667,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
11626560,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
5310940,24978538,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
24856436,23725625,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
24856436,11152667,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
60750,11152667,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
60750,24856436,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
11707110,24978538,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
11707110,644241,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
11707110,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
11707110,51001932,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
44462760,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
5394,23725625,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
5394,24856436,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
104842,24978538,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
11640390,11707110,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
11640390,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
11640390,51001932,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
11488320,51001932,683665,2,Bliss,MC-CAR,Haematopoietic and Lymphoid
51001932,24978538,683665,2,Bliss,MC-CAR,Haematopoietic and Lymphoid
51001932,11707110,683665,3,Synergy,MC-CAR,Haematopoietic and Lymphoid
51001932,208908,683665,1,SA-L,MC-CAR,Haematopoietic and Lymphoid
24866313,11707110,683665,1,IDA,MC-CAR,Haematopoietic and Lymphoid
